,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO
0,2016-0001,1,2016-01-01,2016,1,1,04:00:00,4.0,avenida,8,-58.47533969,-34.68757022,moto-auto,moto,auto
1,2016-0002,1,2016-01-02,2016,1,2,01:15:00,1.0,gral paz,9,-58.50877521,-34.66977709,auto-pasajeros,auto,pasajeros
2,2016-0003,1,2016-01-03,2016,1,3,07:00:00,7.0,avenida,1,-58.39040293,-34.63189362,moto-auto,moto,auto
3,2016-0004,1,2016-01-10,2016,1,10,00:00:00,0.0,avenida,8,-58.46503904,-34.68092974,moto-sd,moto,
4,2016-0005,1,2016-01-21,2016,1,21,05:20:00,5.0,avenida,1,-58.38718297,-34.62246630,moto-pasajeros,moto,pasajeros
5,2016-0008,1,2016-01-24,2016,1,24,18:30:00,18.0,avenida,8,-58.44451316,-34.68475866,moto-objeto fijo,moto,objeto fijo
6,2016-0009,1,2016-01-24,2016,1,24,19:10:00,19.0,calle,11,-58.50095869,-34.60825440,moto-auto,moto,auto
7,2016-0010,1,2016-01-29,2016,1,29,15:20:00,15.0,gral paz,9,-58.50877521,-34.66977709,moto-auto,moto,auto
8,2016-0012,1,2016-02-08,2016,2,8,01:20:00,1.0,avenida,1,-58.38048577,-34.61303893,moto-cargas,moto,cargas
9,2016-0013,1,2016-02-10,2016,2,10,11:30:00,11.0,avenida,1,-58.39114932,-34.62477387,peaton-auto,peaton,auto
10,2016-0015,1,2016-02-14,2016,2,14,05:14:00,5.0,avenida,15,-58.43760020,-34.59912758,peaton-auto,peaton,auto
11,2016-0016,1,2016-02-14,2016,2,14,22:00:00,22.0,avenida,4,-58.36882665,-34.64291993,moto-auto,moto,auto
12,2016-0017,1,2016-02-15,2016,2,15,16:54:00,16.0,avenida,8,-58.44989671,-34.65970435,peaton-moto,peaton,moto
13,2016-0019,1,2016-02-17,2016,2,17,09:30:00,9.0,calle,9,-58.50990884,-34.65468721,peaton-pasajeros,peaton,pasajeros
14,2016-0020,1,2016-02-17,2016,2,17,16:00:00,16.0,calle,1,-58.37952223,-34.60653282,peaton-auto,peaton,auto
15,2016-0021,1,2016-02-17,2016,2,17,23:35:00,23.0,avenida,7,-58.45157703,-34.63063795,auto-auto,auto,auto
16,2016-0022,1,2016-02-21,2016,2,21,06:00:00,6.0,avenida,1,-58.38144696,-34.61079875,moto-auto,moto,auto
17,2016-0025,1,2016-02-28,2016,2,28,04:50:00,4.0,gral paz,8,-58.46244952,-34.70524971,auto-auto,auto,auto
18,2016-0026,1,2016-02-28,2016,2,28,07:30:00,7.0,calle,12,-58.49216191,-34.54738649,auto-objeto fijo,auto,objeto fijo
19,2016-0027,1,2016-02-28,2016,2,28,09:35:00,9.0,avenida,7,-58.44497874,-34.63852623,auto-auto,auto,auto
20,2016-0028,1,2016-03-02,2016,3,2,10:00:00,10.0,avenida,1,-58.38199706,-34.60028648,peaton-cargas,peaton,cargas
21,2016-0029,1,2016-03-04,2016,3,4,17:30:00,17.0,avenida,12,-58.47378664,-34.54153077,peaton-pasajeros,peaton,pasajeros
22,2016-0031,1,2016-03-08,2016,3,8,12:30:00,12.0,gral paz,8,-58.47064556,-34.69843756,moto-pasajeros,moto,pasajeros
23,2016-0034,1,2016-03-12,2016,3,12,12:30:00,12.0,avenida,4,-58.40623949,-34.65076549,peaton-pasajeros,peaton,pasajeros
24,2016-0035,1,2016-03-13,2016,3,13,06:00:00,6.0,avenida,3,-58.39228965,-34.60443527,moto-pasajeros,moto,pasajeros
25,2016-0036,1,2016-03-14,2016,3,14,00:15:00,0.0,calle,4,-58.37813396,-34.63668504,moto-pasajeros,moto,pasajeros
26,2016-0037,1,2016-03-19,2016,3,19,11:00:00,11.0,avenida,7,-58.46275892,-34.64358293,moto-moto,moto,moto
27,2016-0038,1,2016-03-21,2016,3,21,08:06:00,8.0,gral paz,8,-58.49683458,-34.67892743,peaton-pasajeros,peaton,pasajeros
28,2016-0039,1,2016-03-23,2016,3,23,01:50:00,1.0,avenida,3,-58.40603217,-34.60883960,moto-pasajeros,moto,pasajeros
29,2016-0041,2,2016-03-29,2016,3,29,11:00:00,11.0,avenida,7,-58.46076550,-34.63350444,moto-cargas,moto,cargas
30,2016-0043,1,2016-03-30,2016,3,30,18:15:00,18.0,avenida,8,-58.47832463,-34.67494416,peaton-cargas,peaton,cargas
31,2016-0044,1,2016-03-31,2016,3,31,19:40:00,19.0,avenida,7,-58.43213235,-34.63693953,multiple,moto,multiple
32,2016-0045,1,2016-04-11,2016,4,11,10:25:00,10.0,gral paz,13,-58.46743471,-34.53476874,moto-sd,moto,
33,2016-0047,1,2016-04-15,2016,4,15,05:30:00,5.0,calle,1,-58.38247061,-34.62571878,peaton-pasajeros,peaton,pasajeros
34,2016-0048,1,2016-04-15,2016,4,15,17:40:00,17.0,avenida,15,-58.44759966,-34.59170240,peaton-pasajeros,peaton,pasajeros
35,2016-0049,1,2016-04-17,2016,4,17,00:00:00,0.0,autopista,4,-58.37714647568196,-34.63657525428238,,,
36,2016-0050,1,2016-04-19,2016,4,19,09:50:00,9.0,avenida,8,-58.47305463,-34.68550712,peaton-pasajeros,peaton,pasajeros
37,2016-0051,1,2016-04-20,2016,4,20,04:00:00,4.0,avenida,4,-58.40623949,-34.65076549,moto-cargas,moto,cargas
38,2016-0052,1,2016-04-20,2016,4,20,20:00:00,20.0,autopista,13,-58.42098,-34.558958,moto-sd,moto,
39,2016-0053,1,2016-04-22,2016,4,22,09:30:00,9.0,avenida,12,-58.48429180,-34.57558053,peaton-pasajeros,peaton,pasajeros
40,2016-0054,1,2016-04-23,2016,4,23,21:00:00,21.0,autopista,8,-58.48695354,-34.68795245,moto-moto,moto,moto
41,2016-0055,1,2016-04-25,2016,4,25,20:30:00,20.0,avenida,14,-58.40021959,-34.57964781,peaton-cargas,peaton,cargas
42,2016-0056,1,2016-04-26,2016,4,26,04:45:00,4.0,avenida,14,-58.42957885,-34.57660058,moto-objeto fijo,moto,objeto fijo
43,2016-0058,1,2016-05-04,2016,5,4,14:00:00,14.0,calle,1,-58.38247542,-34.62556293,peaton-moto,peaton,moto
44,2016-0059,1,2016-05-08,2016,5,8,16:30:00,16.0,calle,1,-58.38222219,-34.62728101,peaton-pasajeros,peaton,pasajeros
45,2016-0064,1,2016-05-14,2016,5,14,18:11:00,18.0,avenida,10,-58.49485242,-34.62953445,peaton-pasajeros,peaton,pasajeros
46,2016-0065,1,2016-05-20,2016,5,20,14:40:00,14.0,avenida,6,-58.45227946,-34.61068024,peaton-auto,peaton,auto
47,2016-0067,1,2016-05-21,2016,5,21,17:00:00,17.0,avenida,8,-58.48455411,-34.67512760,moto-pasajeros,moto,pasajeros
48,2016-0068,1,2016-05-22,2016,5,22,22:00:00,22.0,avenida,2,-58.39056593,-34.58418569,moto-pasajeros,moto,pasajeros
49,2016-0069,1,2016-05-23,2016,5,23,03:30:00,3.0,avenida,3,-58.39118948,-34.62704273,auto-cargas,auto,cargas
50,2016-0073,1,2016-06-11,2016,6,11,15:00:00,15.0,calle,10,-58.49021952,-34.62025108,moto-cargas,moto,cargas
51,2016-0074,1,2016-06-12,2016,6,12,06:40:00,6.0,gral paz,8,-58.49896559,-34.67732118,auto-auto,auto,auto
52,2016-0075,1,2016-06-12,2016,6,12,23:13:00,23.0,autopista,8,-58.47461076,-34.66874679,peaton-auto,peaton,auto
53,2016-0076,1,2016-06-13,2016,6,13,16:20:00,16.0,avenida,15,-58.46210891,-34.60356211,peaton-pasajeros,peaton,pasajeros
54,2016-0077,1,2016-06-13,2016,6,13,21:52:00,21.0,avenida,1,-58.37027770,-34.60536123,peaton-pasajeros,peaton,pasajeros
55,2016-0078,1,2016-06-13,2016,6,13,23:01:00,23.0,avenida,3,-58.40491455,-34.61463830,moto-moto,moto,moto
56,2016-0079,1,2016-06-16,2016,6,16,17:13:00,17.0,avenida,13,-58.45504154,-34.54864492,auto-auto,auto,auto
57,2016-0080,1,2016-06-18,2016,6,18,06:42:00,6.0,gral paz,9,-58.52927982,-34.63931752,auto-sd,auto,
